Lengths 1-5: combs = 26 ^ 5
password: "bdefg"

Threads:			Time Match:				Time Join:
1					6.89212					28.7516					

2					7.04322					14.8202							

3					12.0362					15.1713	

4					14.2293					15.049

5					2.62529					15.0394

6					6.57932					15.1471

7					10.34					15.1855

8					13.9605					15.1619

9					2.38065					15.1638

10					5.73596					15.1356

11					9.2453					15.1232

12					13.0923					15.1655

13					1.37243					15.2095

14					5.27423					15.1781

15					7.9492					15.2502

16					12.4761					15.1804

17					1.03382					15.098

18					4.49219					15.145

19					8.05243					15.405

20					11.2213					15.126

22					3.87049					15.4489

24					11.1166					15.0997

26					2.98331					15.1217

32					9.24043					15.3232
